Label (Grouping),Occupied housing units (Estimates),Occupied housing units (Margin of Error),Percent occupied housing units (Estimate),Percent occupied housing units (Margin of Error),Owner-occupied housing units (Estimate),Owner-occupied housing units (Margin of Error),Percent owner-occupied housing units (Estimate),Percent owner-occupied housing units (Margin of Error),Renter-occupied housing units (Estimate),Renter-occupied housing units (Margin of Error),Percent renter-occupied housing units (Estimate),Percent renter-occupied housing units (Margin of Error)
Occupied housing units,"13,550,586","±19,485","13,550,586","±19,485","7,565,502","±31,664","7,565,502","±31,664","5,985,084","±30,154","5,985,084","±30,154"
    UNITS IN STRUCTURE,,,,,,,,,,,,
"        1, detached","7,839,643","±33,613",57.90%,±0.2,"6,221,410","±28,936",82.20%,±0.2,"1,618,233","±21,967",27.00%,±0.3
"        1, attached","996,199","±15,356",7.40%,±0.1,"551,083","±11,213",7.30%,±0.1,"445,116","±11,708",7.40%,±0.2
        2 apartments,"307,658","±8,028",2.30%,±0.1,"56,962","±3,730",0.80%,±0.1,"250,696","±7,696",4.20%,±0.1
        3 or 4 apartments,"729,870","±15,621",5.40%,±0.1,"87,385","±5,523",1.20%,±0.1,"642,485","±15,104",10.70%,±0.2
        5 to 9 apartments,"745,229","±14,365",5.50%,±0.1,"85,177","±5,151",1.10%,±0.1,"660,052","±13,766",11.00%,±0.2
        10 or more apartments,"2,459,946","±24,065",18.20%,±0.2,"219,952","±6,927",2.90%,±0.1,"2,239,994","±22,743",37.40%,±0.4
        Mobile home or other type of housing,"472,041","±10,519",3.50%,±0.1,"343,533","±9,089",4.50%,±0.1,"128,508","±5,954",2.10%,±0.1
    YEAR STRUCTURE BUILT,,,,,,,,,,,,
        2020 or later,"162,539","±7,480",1.20%,±0.1,"97,404","±5,515",1.30%,±0.1,"65,135","±5,335",1.10%,±0.1
        2010 to 2019,"935,561","±15,706",6.90%,±0.1,"460,177","±9,894",6.10%,±0.1,"475,384","±11,239",7.90%,±0.2
        2000 to 2009,"1,556,341","±20,521",11.50%,±0.1,"969,737","±14,188",12.80%,±0.2,"586,604","±14,858",9.80%,±0.2
        1980 to 1999,"3,355,063","±24,806",24.80%,±0.2,"1,885,002","±18,470",24.90%,±0.3,"1,470,061","±18,273",24.60%,±0.3
        1960 to 1979,"3,933,728","±25,065",29.00%,±0.2,"2,076,609","±18,429",27.40%,±0.2,"1,857,119","±22,482",31.00%,±0.4
        1940 to 1959,"2,417,164","±26,232",17.80%,±0.2,"1,479,768","±18,748",19.60%,±0.2,"937,396","±18,557",15.70%,±0.3
