Label (Grouping),Occupied housing units (Estimates),Occupied housing units (Margin of Error),Percent occupied housing units (Estimate),Percent occupied housing units (Margin of Error),Owner-occupied housing units (Estimate),Owner-occupied housing units (Margin of Error),Percent owner-occupied housing units (Estimate),Percent owner-occupied housing units (Margin of Error),Renter-occupied housing units (Estimate),Renter-occupied housing units (Margin of Error),Percent renter-occupied housing units (Estimate),Percent renter-occupied housing units (Margin of Error)
Occupied housing units,"11,087,708","±20,293","11,087,708","±20,293","6,926,616","±30,206","6,926,616","±30,206","4,161,092","±28,683","4,161,092","±28,683"
    UNITS IN STRUCTURE,,,,,,,,,,,,
"        1, detached","7,271,865","±34,882",65.60%,±0.3,"6,117,338","±31,588",88.30%,±0.2,"1,154,527","±21,686",27.70%,±0.5
"        1, attached","327,088","±10,196",3.00%,±0.1,"179,194","±7,143",2.60%,±0.1,"147,894","±7,264",3.60%,±0.2
        2 apartments,"186,352","±8,450",1.70%,±0.1,"15,291","±2,538",0.20%,±0.1,"171,061","±8,150",4.10%,±0.2
        3 or 4 apartments,"377,818","±12,235",3.40%,±0.1,"23,721","±3,213",0.30%,±0.1,"354,097","±11,522",8.50%,±0.3
        5 to 9 apartments,"480,571","±16,431",4.30%,±0.1,"19,289","±2,687",0.30%,±0.1,"461,282","±15,855",11.10%,±0.4
        10 or more apartments,"1,756,386","±22,780",15.80%,±0.2,"55,273","±4,455",0.80%,±0.1,"1,701,113","±23,125",40.90%,±0.5
        Mobile home or other type of housing,"687,628","±17,181",6.20%,±0.2,"516,510","±13,596",7.50%,±0.2,"171,118","±9,158",4.10%,±0.2
    YEAR STRUCTURE BUILT,,,,,,,,,,,,
        2020 or later,"405,391","±14,031",3.70%,±0.1,"290,918","±12,177",4.20%,±0.2,"114,473","±7,380",2.80%,±0.2
        2010 to 2019,"2,089,879","±26,792",18.80%,±0.2,"1,271,664","±22,684",18.40%,±0.3,"818,215","±19,153",19.70%,±0.4
        2000 to 2009,"2,070,624","±25,733",18.70%,±0.2,"1,357,786","±19,852",19.60%,±0.3,"712,838","±18,057",17.10%,±0.4
        1980 to 1999,"2,979,438","±25,951",26.90%,±0.2,"1,790,092","±20,139",25.80%,±0.3,"1,189,346","±20,522",28.60%,±0.5
        1960 to 1979,"2,234,972","±26,936",20.20%,±0.2,"1,333,265","±15,962",19.20%,±0.2,"901,707","±20,602",21.70%,±0.5
        1940 to 1959,"986,373","±17,915",8.90%,±0.2,"679,444","±14,395",9.80%,±0.2,"306,929","±10,124",7.40%,±0.2
        1939 or earlier,"321,031","±10,211",2.90%,±0.1,"203,447","±7,936",2.90%,±0.1,"117,584","±5,726",2.80%,±0.1
    ROOMS,,,,,,,,,,,,
